id|titulo|tipos|temas|fontes|descricao_do_conjunto_de_dados|descricao_do_tipo_de_arquivo|nome_arquivo|data_ref|data_lancamento
1|Dataset from Social Dimensions of Inequality (PDSD)|No Cartographic|Work and Income|IBGE|"The research The Social Dimensions of Inequality (PDSD) is a unique initiative within the Brazilian social sciences. The research stems from the Project for Stratification and Social Mobility Indicators, coordinated by the researcher Nelson do Valle Silva (IESP-UERJ), with CNPQ funding, and who conducted fieldwork throughout Brazil producing a (random) sample with national representation – and with a design comparable to the current National Research Sampling (PNAD-IBGE) until 2004 (i.e. only the rural areas of the North have not been researched).

The idea was to produce a consistent set of sociological indicators for monitoring the dynamics of inequality and social mobility in Brazil. In this sense, the research is wholly unique; and such purpose was fulfilled with thoroughness, depth, and mastery. Official researches conducted by government agencies commonly focus solely on the most basic population attributes and categorizations, often neglecting central issues for the social sciences. The PDSD is extensively rich and detailed, aiming to fill the informational gap on many topics of interest. One of its main motivations was to investigate the process behind the creation and transmission of inequality throughout the life cycle of individuals, identifying crucial moments and landmarks."|Data table|Pesquisa_Dimensoes_Sociais_da_Desigualdade.rar|2004|01/05/2009
2|Conservation units database and other green areas MGSP|Cartographic|Environment|SEADE Fundation#Department of Green of the São Paulo State#Google Earth#Forestry Institute#Environmental System#City Halls of the Municipalities of the Metropolitan Region of São Paulo#Department of Environment of the São Paulo Municipality#Department of Environment of the São Paulo State|The set of files now available contains the polygons of conservation units and other green areas of the Municipality of São Paulo (RMSP), and were prepared by the CEM / Cepid Transfer team, under the coordination of geographer José Donizete Cazzolato. In conjunction with hydrographic and river basin layers, this base mainly meets the demands of environmental research within the RMSP, not only considering those carried out within the scope of CEM / Cebrap, but also to external researchers and other interested parties, through the website.|Green areas of the MRSP|AreasVerdes_RMSP_CEM_2018.zip|2018|01/03/2018
3|BIKE PATHS, BIKES STATIONS AND BICYCLE STATIONS DATASET OF THE MUNICIPALITY OF SÃO PAULO|Cartographic|Transport and Mobility|CET#Department of Transport of the São Paulo Municipality|The first database contains the set of bicycle lanes in the municipality of São Paulo existing in June 2017 and was produced from the georeferenced file with the design of the bicycle lanes provided by the City of São Paulo on the site of the Traffic Engineering Company (CET) 1 , This bank is compatible with CEM's Base of Offices.The second database represents the set of bike stations of both programs in the city of São Paulo: BikeSampa and CicloSampa. The third bank also includes the geo-referenced data of the bicycle stands of the municipality of São Paulo and aims to provide complementary information to the CEM dataset. It provides information on 84 equipment where it is possible to store bicycles, as to their location, type (bicycle or paracycle), number of places available for bicycles and institution linked to the transport responsible for their maintenance (SPTrans, CPTM, Metrô, ViaQuatro, EMTU , SPPI or SPSE).|Cycling routes|Ciclovias_2017_CEM_V2.zip|2017|01/06/2017
4|BUS LINES DATABASE - MUNICIPALITY OF SÃO PAULO|Cartographic|Work and Income|Department of Transport of the São Paulo Municipality|"The bus lines dataset in the city of São Paulo is an extension of the research that integrates the investigation line of the Center for Metropolitan Studies(CEM / Ridc) ""Patterns of governance in urban politics"". This is the first set of consolidated georeferenced data and free public access to the universe of bus lines in the city of São Paulo, and aims to trace a profile of the bus lines in September 2015. With adjustments implemented in June 2017

Based on data obtained through SPTrans's information access law and its website, the dataset is an important resource for researchers dedicated to urban studies to understand the dynamics of production of bus services, an object still Social sciences. By systematizing the characteristics of the network of lines, it facilitates the extension of the possibilities of analysis of urban mobility, generally focused on questions of travel time, modalities of transport and use of the road."|Bus lines|LB15_MSP_CEM_V3.zip|2015|01/09/2015
5|DATASET SLUMS AND SETTLEMENTS|Cartographic|Housing|Department of the Housing of the São Paulo Municipality#Center for Metropolitan Studies|The work done in 2016 carried out the quantification and estimation of the residents of slums (favelas) and irregular subdivisions of São Paulo from 2000 to 2010 in the Municipality of São Paulo (MSP). The study coordinated for Sehab / PMSP was accomplished in two phases: 1) correctness and repair of existing cartographies of slums and settlements in order to enable the production of statistics (without cadastral purposes) and 2) estimates of households (and people) in favelas and clandestine and irregular settlements of low income (average income of the person responsible for less than 3 minimum wage) and social characterization of the residents and their social conditions. See also reports on Research/Transference Studies.|Dataset slums and settlements|Bases_CEM_PMH_SEHAB_2016.zip|2016|01/11/2016
6|"Digital Cartographic Base Georeferenced for public place by
Metropolitan Region of São Paulo - Edition 2018"|Cartographic|Road System|Department of Transport of the São Paulo Municipality#CEPs(Postal Code) Base of Mail#Google Earth#City Halls of the Municipalities of the Metropolitan Region of São Paulo|In the set of georeferenced cartographic archives of the Metropolitan Studies Center (RMSP), the base of streets (avenues, avenues, bridges, bridges and viaducts) can be considered the main one. In addition to representing the city's road infrastructure, allowing to infer the location of squares, parks, hydrographic channels, as well as perceiving the different plots of urban design, is the quintessential localization and geocoding tool of specific phenomena - people, events, equipment, etc. The 2018 edition totals 326,004 segments (each stretch of road - from corner to corner), of which 89% have name, real estate numbering and postal code (ZIP code). This number is quite significant, if we take into account the exceptional dynamics of metropolitan urban space. Even with the tendency towards densification and stabilization to the detriment of the expansion of the urban fabric, RMSP still incorporates a large volume of changes: new settlements, residential implants, condominiums, roadways and urban transport, large equipment, etc. which determine important impacts in the diverse cartographies, the geometric representation or the attributes. Since 2014, the CEM base of farms has incorporated a large number of changes. More than 43 thousand segments - 13% of the total - were altered or incorporated in the current edition. The changes refer to the drawing or layout, technically called GEOMETRY or the data referring to each segment, called ATTRIBUTES. The layout of the roads (roads, avenues, highways, viaducts, etc.) can be reallocated for a more precise positioning, as well as new segments. The attributes can also be adjusted or complemented: path name, zip code, real estate numbering, district to which it belongs, etc.|Public place|LOG2018_CEM_RMSP.zip|2018|01/01/2018
7|Shapefile of the Metropolitan Region of São Paulo (RMSP) by census tracts - Demographic Census of 1991|Cartographic|Demographic Census 1991|IBGE|"Demographic Census by Census Tracts - Databases with cartographies and census variables (demographic data, socioeconomic data, characterization of households etc.) from the metropolitan region of São Paulo

This work represents a significant effort from Center for Metropolitan Studies (CMS) to make detailed census data about the Metropolitan Region of São Paulo available for researchers and institutions of the public sector.

The files contain the digital cartography (georeferenced) and the alphanumeric data related to the questionnaires in the 1991 Demographic Census universe and the 2000 Demographic Census, all of them performed by IBGE."|Demographic Census 1991#Description of files|SC_1991.rar#DescricaoSC.pdf|1991|01/01/2000
8|Shapefile of the Metropolitan Region of São Paulo (RMSP) by census tracts - Demographic Census of 2000|Cartographic|Demographic Census 2000|IBGE|"Demographic Census by Census Tracts - Databases with cartographies and census variables (demographic data, socioeconomic data, characterization of households etc.) from the metropolitan region of São Paulo

This work represents a significant effort from Center for Metropolitan Studies (CMS) to make detailed census data about the Metropolitan Region of São Paulo available for researchers and institutions of the public sector.

The files contain the digital cartography (georeferenced) and the alphanumeric data related to the questionnaires in the 1991 Demographic Census universe and the 2000 Demographic Census, all of them performed by IBGE."|Demographic Census 2000#Description of files|SC_2000.rar#DescricaoSC.pdf|2000|01/01/2004
9|Shapefile of the Census Tracts 2010 RM Aracajú SC2010 CEM|Cartographic|Demographic Census 2010|IBGE|This is the latest edition of the Census Tracts for the 2010 census for the metropolitan areas of Brazil and it offers a new horizon for socio-spatial researches. Associated with a geographic information system, these data and mapping files give access to an integrated set of information that makes it possible to identify areas with high concentrations of poverty or insufficiently addressed by public policies, becoming a key instrument for the society and public sector to know and to act in public places.|Setores Censitários de Aracajú#Description of files|RM_Aracaju_sc2010_CEM.rar#DescricaoSC.pdf|2010|01/01/2013
10|Shapefile of the Census Tracts 2010 RM Baixada Santista SC2010 CEM|Cartographic|Demographic Census 2010|IBGE|This is the latest edition of the Census Tracts for the 2010 census for the metropolitan areas of Brazil and it offers a new horizon for socio-spatial researches. Associated with a geographic information system, these data and mapping files give access to an integrated set of information that makes it possible to identify areas with high concentrations of poverty or insufficiently addressed by public policies, becoming a key instrument for the society and public sector to know and to act in public places.|Census tracts of Baixada Santista#Description of files|RM_Baixada_Santista_sc2010_CEM.rar#DescricaoSC.pdf|2010|01/01/2013
