id;titulo;descricao_do_conjunto_de_dados;ano;regiao;descricao_do_tipo_de_arquivo;nome_arquivo;imagem_preview;Data de referencia do dado;Data de lançamento do CEM
1;Maps and Data of the Territorial Division and Demography of Brazil in general, of the Major Regions, and Federation Units;Mapas and Data of the Territorial Division and Demography of Brazil in general,  of the Major Regions and Federation Units;2008;BRAZIL#MIDWEST#NORTHEAST#NORTH#SOUTHEAST#SOUTH;Brasil - Divisões territoriais e demografia;Brasil-divisoes_territoriais_e_demografia.zip;Brasil-divisoes_territoriais_e_demografia---BrEsDe3.jpg;2008;01-01-2009
2;Maps and Data of the Territorial Division and Demography of the Metropolitan Region of Aracaju;Maps and Data of Metropolitan Region of Aracaju;2008;SOUTH;RM Aracaju;RM_Aracaju_2008.zip;RM_Aracaju_2008---RMaraDe3.jpg;2008;01-01-2009
3;Maps and Data of the Territorial Division and Demography of the Metropolitan Region of Baixada Santista;Maps and Data of Metropolitan Region of Baixada Santista;2008;SOUTHEAST;RM Baixada Santista;RM_Baixada_Santista_2008.zip;RM_Baixada_Santista_2008---RMbxsDe3.jpg;2008;01-01-2009
4;Maps and Data of the Territorial Division and Demography of the Metropolitan Region of Belém;Maps and Data of Metropolitan Region of Belém;2008;NORTH;RM Belem;RM_Belem_2008.zip;RM_Belem_2008---RMbelDe3.jpg;2008;01-01-2009
5;Maps and Data of the Territorial Division and Demography of the Metropolitan Region of Belo Horizonte;Maps and Data of Metropolitan Region of Belo Horizonte;2008;SOUTHEAST;RM Belo Horizonte;RM_Belo_Horizonte_2008.zip;RM_Belo_Horizonte_2008---RMbhzDe3.jpg;2008;01-01-2009
6;Maps and Data of the Territorial Division and Demography of the Metropolitan Region of Campinas;Maps and Data of Metropolitan Region of Campinas;2008;SOUTHEAST;RM Campinas;RM_Campinas_2008.zip;RM_Campinas_2008---RMcamDe3.jpg;2008;01-01-2009
7;Maps and Data of the Territorial Division and Demography of the Metropolitan Region of Carbonífera;Maps and Data of Metropolitan Region of Carbonífera;2008;SOUTH;RM Carbonífera;RM_Carbonifera_2008.zip;RM_Carbonifera_2008---RMcarDe3.jpg;2008;01-01-2009
8;Maps and Data of the Territorial Division and Demography of the Metropolitan Region of Cuiabá/Várzea Grande;Maps and Data of Metropolitan Region of Cuiabá/Várzea Grande;2008;MIDWEST;RM Cuiabá - Várzea Grande 2008;RM_Cuiaba-Varzea_Grande_2008.zip;RM_Cuiaba-Varzea_Grande_2008---RMcvgDe3.jpg;2008;01-01-2009
9;Maps and Data of the Territorial Division and Demography of the Metropolitan Region of Curitiba;Maps and Data of Metropolitan Region of Curitiba;2008;SOUTH;RM Curitiba 2008;RM_Curitiba_ 2008.zip;RM_Curitiba_2008---RMcurDe3.jpg;2008;01-01-2009
10;Maps and Data of the Territorial Division and Demography of the Metropolitan Region of Distrito Federal de Entorno;Maps and Data of Metropolitan Region of Distrito Federal de Entorno;2008;MIDWEST;RM Distrito Federal 2008;RM_Distrito_Federal_2008.zip;RM_Distrito_Federal_2008---RMdfeDe3.jpg;2008;01-01-2009
11;Maps and Data of the Territorial Division and Demography of the Metropolitan Region of Florianópolis;Maps and Data of Metropolitan Region of Florianópolis;2008;SOUTH;RM Florianópolis 2008;RM_Florianopolis_2008.zip;RM_Florianopolis_2008---RMfloDe3.jpg;2008;01-01-2009
12;Maps and Data of the Territorial Division and Demography of the Metropolitan Region of Fortaleza;Maps and Data of Metropolitan Region of Fortaleza;2008;NORTHEAST;RM Fortaleza 2008;RM_Fortaleza_2008.zip;RM_Fortaleza_2008---RMforDe3.jpg;2008;01-01-2009
13;Maps and Data of the Territorial Division and Demography of the Metropolitan Region of Foz do Itajaí;Maps and Data of Metropolitan Region of Foz do Itajaí;2008;SOUTH;RM Foz do Rio Itajaí 2008;RM_Foz_do_Rio_Itajai_2008.zip;RM_Foz_do_Rio_Itajai_2008---RMfriDe3.jpg;2008;01-01-2009
14;Maps and Data of the Territorial Division and Demography of the Metropolitan Region of Goiânia;Maps and Data of Metropolitan Region of Goiânia;2008;MIDWEST;RM Goiânia 2008;RM_Goiania_2008.zip;RM_Goiania_2008---RMgoiDe3.jpg;2008;01-01-2009
15;Maps and Data of the Territorial Division and Demography of the Metropolitan Region of João Pessoa;Maps and Data of Metropolitan Region of João Pessoa;2008;NORTHEAST;RM João Pessoa 2008;RM_Joao_Pessoa_2008.zip;RM_Joao_Pessoa_2008---RMjpsDe3.jpg;2008;01-01-2009
16;Maps and Data of the Territorial Division and Demography of the Metropolitan Region of Litoral Norte;Maps and Data of Metropolitan Region of Litoral Norte;2008;SOUTH;RM Litoral Norte RS 2008;RM_Litoral_Norte_RS_2008.zip;RM_Litoral_Norte_RS_2008---RMlinDe3.jpg;2008;01-01-2009
17;Maps and Data of the Territorial Division and Demography of the Metropolitan Region of Londrina;Maps and Data of Metropolitan Region of Londrina;2008;SOUTH;RM Londrina 2008;RM_Londrina_2008.zip;RM_Londrina_2008---RMlonDe3.jpg;2008;01-01-2009
18;Maps and Data of the Territorial Division and Demography of the Metropolitan Region of Macapá;Maps and Data of Metropolitan Region of Macapá;2008;NORTH;RM Macapá 2008;RM_Macapa_2008.zip;RM_Macapa_2008---RMmcpDe3.jpg;2008;01-01-2009
19;Maps and Data of the Territorial Division and Demography of the Metropolitan Region of Maceió;Maps and Data of Metropolitan Region of Maceió;2008;NORTHEAST;RM Maceió 2008;RM_Maceio_2008.zip;RM_Maceio_2008---RMmceDe3.jpg;2008;01-01-2009
