id;titulo;descricao_do_conjunto_de_dados;ano;regiao;descricao_do_tipo_de_arquivo;nome_arquivo;imagem_preview;Data de referencia do dado;Data de lançamento do CEM
1;Mapas e Dados da Divisão Territorial e Demografia do Brasil no geral, das Grandes Regiões, e Unidades de Federação;Dados da Divisão Territorial e Demografia do Brasil no geral, das Grandes Regiões, e Unidades de Federação;2008;BRASIL#CENTRO-OESTE#NORDESTE#NORTE#SUDESTE#SUL;Brasil - Divisões territoriais e demografia;Brasil-divisoes_territoriais_e_demografia.zip;Brasil-divisoes_territoriais_e_demografia---BrEsDe3.jpg;2008;01-01-2009
2;Mapas e Dados da Divisão Territorial e Demografia da Região Metropolitana de Aracaju;Aracaju;2008;SUL;RM Aracaju;RM_Aracaju_2008.zip;RM_Aracaju_2008---RMaraDe3.jpg;2008;01-01-2009
3;Mapas e Dados da Divisão Territorial e Demografia da Região Metropolitana da Baixada Santista;Baixada Santista;2008;SUDESTE;RM Baixada Santista;RM_Baixada_Santista_2008.zip;RM_Baixada_Santista_2008---RMbxsDe3.jpg;2008;01-01-2009
4;Mapas e Dados da Divisão Territorial e Demografia da Região Metropolitana de Belém;Belém;2008;NORTE;RM Belem;RM_Belem_2008.zip;RM_Belem_2008---RMbelDe3.jpg;2008;01-01-2009
5;Mapas e Dados da Divisão Territorial e Demografia da Região Metropolitana de Belo Horizonte;Belo Horizonte;2008;SUDESTE;RM Belo Horizonte;RM_Belo_Horizonte_2008.zip;RM_Belo_Horizonte_2008---RMbhzDe3.jpg;2008;01-01-2009
6;Mapas e Dados da Divisão Territorial e Demografia da Região Metropolitana de Campinas;Campinas;2008;SUDESTE;RM Campinas;RM_Campinas_2008.zip;RM_Campinas_2008---RMcamDe3.jpg;2008;01-01-2009
7;Mapas e Dados da Divisão Territorial e Demografia da Região Metropolitana Carbonífera;Carbonífera;2008;SUL;RM Carbonífera;RM_Carbonifera_2008.zip;RM_Carbonifera_2008---RMcarDe3.jpg;2008;01-01-2009
8;Mapas e Dados da Divisão Territorial e Demografia da Região Metropolitana de Cuiabá/Várzea Grande;Cuiabá/Várzea Grande;2008;CENTRO-OESTE;RM Cuiabá - Várzea Grande 2008;RM_Cuiaba-Varzea_Grande_2008.zip;RM_Cuiaba-Varzea_Grande_2008---RMcvgDe3.jpg;2008;01-01-2009
9;Mapas e Dados da Divisão Territorial e Demografia da Região Metropolitana de Curitiba;Curitiba;2008;SUL;RM Curitiba 2008;RM_Curitiba_ 2008.zip;RM_Curitiba_2008---RMcurDe3.jpg;2008;01-01-2009
10;Mapas e Dados da Divisão Territorial e Demografia da Região Metropolitana do Distrito Federal de Entorno;Distrito Federal de Entorno;2008;CENTRO-OESTE;RM Distrito Federal 2008;RM_Distrito_Federal_2008.zip;RM_Distrito_Federal_2008---RMdfeDe3.jpg;2008;01-01-2009
11;Mapas e Dados da Divisão Territorial e Demografia da Região Metropolitana de Florianópolis;Florianópolis;2008;SUL;RM Florianópolis 2008;RM_Florianopolis_2008.zip;RM_Florianopolis_2008---RMfloDe3.jpg;2008;01-01-2009
12;Mapas e Dados da Divisão Territorial e Demografia da Região Metropolitana de Fortaleza;Fortaleza;2008;NORDESTE;RM Fortaleza 2008;RM_Fortaleza_2008.zip;RM_Fortaleza_2008---RMforDe3.jpg;2008;01-01-2009
13;Mapas e Dados da Divisão Territorial e Demografia da Região Metropolitana da Foz do Itajaí;Foz do Itajaí;2008;SUL;RM Foz do Rio Itajaí 2008;RM_Foz_do_Rio_Itajai_2008.zip;RM_Foz_do_Rio_Itajai_2008---RMfriDe3.jpg;2008;01-01-2009
14;Mapas e Dados da Divisão Territorial e Demografia da Região Metropolitana de Goiânia;Goiânia;2008;CENTRO-OESTE;RM Goiânia 2008;RM_Goiania_2008.zip;RM_Goiania_2008---RMgoiDe3.jpg;2008;01-01-2009
15;Mapas e Dados da Divisão Territorial e Demografia da Região Metropolitana de João Pessoa;João Pessoa;2008;NORDESTE;RM João Pessoa 2008;RM_Joao_Pessoa_2008.zip;RM_Joao_Pessoa_2008---RMjpsDe3.jpg;2008;01-01-2009
16;Mapas e Dados da Divisão Territorial e Demografia da Região Metropolitana do Litoral Norte;Litoral Norte;2008;SUL;RM Litoral Norte RS 2008;RM_Litoral_Norte_RS_2008.zip;RM_Litoral_Norte_RS_2008---RMlinDe3.jpg;2008;01-01-2009
17;Mapas e Dados da Divisão Territorial e Demografia da Região Metropolitana de Londrina;Londrina;2008;SUL;RM Londrina 2008;RM_Londrina_2008.zip;RM_Londrina_2008---RMlonDe3.jpg;2008;01-01-2009
18;Mapas e Dados da Divisão Territorial e Demografia da Região Metropolitana de Macapá;Macapá;2008;NORTE;RM Macapá 2008;RM_Macapa_2008.zip;RM_Macapa_2008---RMmcpDe3.jpg;2008;01-01-2009
19;Mapas e Dados da Divisão Territorial e Demografia da Região Metropolitana de Maceió;Maceió;2008;NORDESTE;RM Maceió 2008;RM_Maceio_2008.zip;RM_Maceio_2008---RMmceDe3.jpg;2008;01-01-2009
20;Mapas e Dados da Divisão Territorial e Demografia da Região Metropolitana de Manaus;Manaus;2008;NORTE;RM Manaus 2008;RM_Manaus_2008.zip;RM_Manaus_2008---RMmanDe3.jpg;2008;01-01-2009
21;Mapas e Dados da Divisão Territorial e Demografia da Região Metropolitana de Maringá;Maringá;2008;SUL;RM Maringá 2008;RM_Maringa_2008.zip;RM_Maringa_2008---RMmarDe3.jpg;2008;01-01-2009
22;Mapas e Dados da Divisão Territorial e Demografia da Região Metropolitana de Natal;Natal;2008;NORDESTE;RM Natal 2008;RM_Natal_2008.zip;RM_Natal_2008---RMnatDe3.jpg;2008;01-01-2009
23;Mapas e Dados da Divisão Territorial e Demografia da Região Metropolitana do Norte/Nordeste Catarinense;Norte/Nordeste Catarinense;2008;SUL;RM Norte-Nordeste Catarinense 2008;RM_Norte-Nordeste_Catarinense_2008.zip;RM_Norte-Nordeste_Catarinense_2008---RMnncDe3.jpg;2008;01-01-2009
24;Mapas e Dados da Divisão Territorial e Demografia da Região Metropolitana do Nordeste do Rio Grande do Sul;Nordeste do Rio Grande do Sul;2008;SUL;RM Norte do RS 2008;RM_Norte_do_RS_2008.zip;RM_Norte_do_RS_2008---RMnrsDe3.jpg;2008;01-01-2009
25;Mapas e Dados da Divisão Territorial e Demografia da Região Metropolitana de Petrolina e Juazeiro;Petrolina e Juazeiro;2008;NORDESTE;RM Petrolina e Juazeiro 2008;RM_Petrolina_e_Juazeiro_2008.zip;RM_Petrolina_e_Juazeiro_2008---RMpejDe3.jpg;2008;01-01-2009
26;Mapas e Dados da Divisão Territorial e Demografia da Região Metropolitana de Porto Alegre;Porto Alegre;2008;SUL;RM Porto Alegre 2008;RM_Porto_ Alegre_2008.zip;RM_Porto_Alegre_2008---RMpoaDe3.jpg;2008;01-01-2009
