id;titulo;temas;fontes;tags;descricao_do_conjunto_de_dados;tipos;descricao_do_tipo_de_arquivo;nome_arquivo;data_ref;data_lancamento
1;Pesquisa Dimensões Sociais da Desigualdade (PDSD);Demografia#Desigualdade social e pobreza#Educação#Trabalho e rendimento;IBGE;PDSD;A Pesquisa Dimensões Sociais da Desigualdade (PDSD) é uma iniciativa ímpar no cenário da ciência social brasileira. Fruto do Projeto de Sistema de Indicadores de Estratificação e Mobilidade Social, coordenado pelo pesquisador Nelson do Valle Silva (IESP-UERJ), recebeu financiamento do CNPQ e foi a campo por todo Brasil, produzindo uma amostra (aleatória) com representatividade nacional – e com desenho comparável ao vigente nas Pesquisas Nacionais por Amostragem de Domicílios (PNAD-IBGE) até 2004 (isto é, apenas não foram investigadas as áreas rurais da região Norte). A proposta era produzir um conjunto consistente de indicadores sociológicos para o acompanhamento da dinâmica da desigualdade e da mobilidade social no Brasil. Neste aspecto, a pesquisa é absolutamente original# e tal propósito foi cumprido com rigor, profundidade e maestria. As pesquisas oficiais produzidas pelos órgãos governamentais geralmente se ocupam apenas dos atributos e caracterizações mais básicas da população, frequentemente deixando de lado quesitos centrais para as indagações das ciências sociais. A PDSD é bastante rica e detalhada, visando suprir a lacuna de informações em muitos temas de interesse. Uma de suas principais motivações era investigar o processo de criação e transmissão das desigualdades ao longo do ciclo de vida dos indivíduos, identificando momentos e etapas cruciais. ;não cartográfico;Banco de dados;Pesquisa_Dimensoes_Sociais_da_Desigualdade.rar;;09/01/1900
2;Base de unidades de conservação e outras áreas verdes da RMSP;Divisão Territorial, cartografia e georreferenciamento;Fundação SEADE#Secretaria do Verde do Estado de São Paulo#Google Earth#Instituto Florestal#Fundação Florestal#Prefeituras dos municípios da Região Metropolitana de São Paulo#Secretaria do Medio Ambiente do Municipio de São Paulo#Secretaria do Medio Ambiente do Estado de São Paulo;Areas verdes;O conjunto de arquivos agora disponibilizado contém os polígonos das unidades de conservação e outras áreas verdes da Região Municipal de São Paulo (RMSP), tendo sido elaborados pela equipe de Transferência do CEM/Cepid, sob coordenação do geógrafo José Donizete Cazzolato. Em conjunto com os layers de hidrografia e bacias fluviais, esta base atende principalmente às demandas das pesquisas de cunho ambiental no âmbito da RMSP, não somente atendendo àquelas realizadas no âmbito do CEM/Cebrap, mas também aos pesquisadores externos e outros interessados, através do site do CEM.;cartográfico;Areas verdes da RMSP;AreasVerdes_RMSP_CEM_2018.zip;;01/03/2018
3;Bases de dados de ciclovias, conjunto de estações de bicicletas compartilhadas e bicicletários do município de São Paulo;Divisão Territorial, cartografia e georreferenciamento#Transporte e mobilidade;CET#Secretaria de Transporte do Municipio de São Paulo;Ciclovias#Bicicletários;O primeiro banco de dados traz o conjunto das ciclovias do município de São Paulo existente em junho de 2017 e foi produzido partir do arquivo georrefenciado com o desenho das ciclovias fornecido pela Prefeitura de São Paulo no site da Companhia de Engenharia de Tráfego (CET)1, este banco é compatível com a Base de Logradouros do CEM. O segundo banco de dados representa o conjunto das estações de bicicletas compartilhadas de ambos os programas existentes no município de São Paulo: BikeSampa e CicloSampa. O terceiro banco traz os dados também georreferenciados dos bicicletários do município de São Paulo e visa a fornecer informações complementares ao Banco de Ciclovias do CEM. Traz informações a respeito de 84 equipamentos onde é possível guardar bicicletas, quanto ao seu local, tipo (bicicletário ou paraciclo), quantidade de vagas disponíveis para bicicletas e instituição ligada ao transporte responsável por sua manutenção (SPTrans, CPTM, Metrô, ViaQuatro, EMTU, SPPI ou SPSE).;cartográfico;Ciclovias;Ciclovias_2017_CEM_V2.zip;;01/06/2017
4;Banco de dados de linhas de ônibus do Município de São Paulo;Divisão Territorial, cartografia e georreferenciamento#Transporte e mobilidade;Secretaria de Transporte do Municipio de São Paulo;Linhas de ônibus;"O banco de dados de linhas de ônibus do Município de São Paulo é um desdobramento da pesquisa que integra a linha de investigação do Centro de Estudos da Metrópole (CEM/Cepid) ""Padrões de governança em política urbana"". Trata-se do primeiro conjunto de dados georreferenciado consolidado e de livre acesso público do universo das linhas de ônibus no município de São Paulo, e traça um retrato das linhas de ônibus no mês de setembro de 2015. Com ajustes implementados em 14 de junho de 2017. Produzido a partir de dados obtidos por meio da lei de acesso à informação e do site da SPTrans, o banco é um importante recurso para pesquisadores dedicados aos estudos urbanos para a compreensão da dinâmica de produção dos serviços de ônibus, um objeto ainda pouco pesquisado pelas ciências sociais brasileiras. Ao sistematizar as características da rede de linhas, propicia o alargamento das possibilidades de análise da mobilidade urbana, em geral voltada a questões do tempo de viagem, modalidades de transportes e uso do viário.";cartográfico;Linhas de ônibus;LB15_MSP_CEM_V3.zip;;01/09/2015
5;Base de favelas e Loteamentos CEM/Sehab (2000-2010);Divisão Territorial, cartografia e georreferenciamento#Desigualdade social e pobreza;Secretaria de Habitação do Municipio de São Paulo#Centro de Estudos da Metrópole;Favelas e loteamentos;O trabalho feito em 2016 realizou a quantificação e estimativa dos moradores de favelas e loteamentos irregulares de São Paulo no período de 2000 a 2010 no Município de São Paulo (MSP), e foi realizado para a Sehab/PMSP constituindo-se em duas fases: 1) acerto e conserto das cartografias existentes de favelas e loteamentos de forma a viabilizar a produção de estatísticas (sem fins cadastrais) e 2) de estimativa dos domicílios (e pessoas) em favelas e loteamentos clandestinos e irregulares de baixa renda (renda média do responsável inferior a 3 SM) e caracterização social dos moradores e suas condições sociais. Veja também Pesquisa/Estudos de Transferência os relatórios.;cartográfico;Base de favelase loteamentos;Bases_CEM_PMH_SEHAB_2016.zip;;01/11/2016
6;Base Cartográfica Digital Georreferenciada de Logradouros da Região Metropolitana de São Paulo - Edição 2018;Divisão Territorial, cartografia e georreferenciamento#Logradouros;Secretaria de Transporte do Municipio de São Paulo#Base de CEPs do correio#Google Earth#Prefeituras dos municípios da Região Metropolitana de São Paulo;Logradouros;No conjunto dos arquivos cartográficos georreferenciados do acervo do Centro de Estudos da Metrópole referente à Região Metropolitana de São Paulo (RMSP), a base de logradouros (ruas, avenidas, travessas, pontes e viadutos) pode ser considerada como a principal. Além de representar a infraestrutura viária da cidade, permitindo inferir a localização de praças, parques, canais hidrográficos, assim como perceber as diferentes tramas do desenho urbano, é a ferramenta por excelência na localização e geocodificação de fenômenos pontuais - pessoas, eventos, equipamentos, etc. A edição 2018 totaliza 326.004 segmentos (cada trecho viário – de esquina a esquina), dos quais 89% tem nome, numeração dos imóveis e código de endereçamento postal (CEP). Este número é bastante significativo, se levarmos em conta a excepcional dinâmica do espaço urbano metropolitana. Mesmo com a tendência observada no sentido de adensamento e estabilização em detrimento da expansão do tecido urbano, a RMSP ainda incorpora um grande volume de alterações: novos assentamentos, implantes residenciais, condomínios, eixos viários e de transporte urbano, grandes equipamentos, etc, os quais determinam importantes impactos nas diversas cartografias, na representação geométrica ou nos atributos. Desde 2014, a base CEM de logradouros incorporou um grande número de alterações. Mais de 43 mil segmentos - 13% do total - foram alterados ou incorporados na atual edição. As alterações referem-se ao desenho ou traçado, tecnicamente chamado GEOMETRIA ou aos dados referentes a cada segmento, chamados ATRIBUTOS. O traçado das vias (eixo das ruas, avenidas, rodovias, viadutos, etc) pode ser realocado para um posicionamento mais preciso, assim como pode ser acrescido de novos segmentos. Os atributos podem, igualmente, ser ajustados ou complementados: nome da via, CEP, numeração imobiliária, distrito a que pertence, etc.;cartográfico;Logradouros;LOG2018_CEM_RMSP.zip;;01/01/2018
7;Shapefile da Região Metropolitana de São Paulo (RMSP) por setores censitários - Censo Demográfico de 1991;Demografia#Divisão Territorial, cartografia e georreferenciamento;IBGE;Setores censitários 1991#Censo Demográfico 1991;Censo Demográfico por Setores Censitários - Bases de dados com cartografias e variáveis censitárias (dados demográficos, socioeconômicos, caracterização dos domicílios etc.) da Região Metropolitana de São Paulo. Este trabalho representa um significativo esforço do Centro de Estudos da Metrópole (CEM) para colocar à disposição de pesquisadores e instituições do setor público dados censitários detalhados sobre a Região Metropolitana de São Paulo. Os arquivos contêm a cartografia digital (georreferenciada) e os dados alfanuméricos referentes aos questionários do universo do Censo Demográfico de 1991 realizados pelo IBGE.;cartográfico;Censo Demográfico 1991#Descrição dos Arquivos;SC_1991.rar#DescricaoSC.pdf;1991;01/01/2000
8;Shapefile da Região Metropolitana de São Paulo (RMSP) por setores censitários - Censo Demográfico de 2000;Demografia#Divisão Territorial, cartografia e georreferenciamento;IBGE;Setores censitários 2000#Censo Demográfico 2000;Censo Demográfico por Setores Censitários - Bases de dados com cartografias e variáveis censitárias (dados demográficos, socioeconômicos, caracterização dos domicílios etc.) da Região Metropolitana de São Paulo. Este trabalho representa um significativo esforço do Centro de Estudos da Metrópole (CEM) para colocar à disposição de pesquisadores e instituições do setor público dados censitários detalhados sobre a Região Metropolitana de São Paulo. Os arquivos contêm a cartografia digital (georreferenciada) e os dados alfanuméricos referentes aos questionários do universo do Censo Demográfico de 1991 realizados pelo IBGE.;cartográfico;Censo Demográfico 2000#Descrição dos Arquivos;SC_2000.rar#DescricaoSC.pdf;2000;01/01/2000
9;Shapefile dos Setores Censitários 2010 RM Aracajú SC2010 CEM;Demografia#Divisão Territorial, cartografia e georreferenciamento;IBGE;Setores censitários 2010#Censo Demográfico 2010;Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.;cartográfico;Setores Censitários de Aracajú#Descrição dos Arquivos;RM_Aracaju_sc2010_CEM.rar#DescricaoSC.pdf;;01/01/2010
10;Shapefile dos Setores Censitários 2010 RM Baixada Santista  SC2010 CEM;Demografia#Divisão Territorial, cartografia e georreferenciamento;IBGE;Setores censitários 2010#Censo Demográfico 2010;Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.;cartográfico;Setores Censitários de Baixada Santista#Descrição dos Arquivos;RM_Baixada_Santista_sc2010_CEM.rar#DescricaoSC.pdf;;01/01/2010
