id;titulo;temas;fontes;divisao-administrativa;descricao_do_conjunto_de_dados;tipos;descricao_do_tipo_de_arquivo;nome_arquivo;data_ref;data_lancamento
1;Dados da Divisão Territorial e Demografia do Brasil no geral, das Grandes Regiões, e Unidades de Federação;Divisão Territorial#Demografia;Centro de Estudos da Metrópole;Pais#Grandes Regiões#Unidades da Federação;Dados da Divisão Territorial e Demografia do Brasil no geral, das Grandes Regiões, e Unidades de Federação;Dados;Dados Regiões e Estados#Dicionário Brasil;DataBrasil08.xls#DicBras08im.pdf;;2008-01-01
2;Dados da Divisão Territorial e Demografia das Regiões Metropolitanas do Brasil;Divisão Territorial#Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas;Dados da Divisão Territorial e Demografia das Regiões Metropolitanas do Brasil;Dados;Dados das 36 RMs#Dicionário das 36 RMs;DataRmBr08.xls#DicRm08im.pdf;;2008-01-01
3;Dados da Divisão Territorial e Demografia da RM Aracaju;Divisão Territorial#Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Aracaju;Dados da Divisão Territorial e Demografia da RM Aracaju;Dados;Dados da RM Aracaju#Dicionário;DataMunARA.xls#DicRMSP08im.pdf;;2008-01-01
4;Dados da Divisão Territorial e Demografia da RM Baixada Santista ;Divisão Territorial#Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Baixada Santista ;Dados da Divisão Territorial e Demografia da RM Baixada Santista ;Dados;Dados da RM Baixada Santista#Dicionário;DataMunBXS.xls#DicRMSP08im.pdf;;2008-01-01
5;Dados da Divisão Territorial e Demografia da RM Belém;Divisão Territorial#Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Belém;Dados da Divisão Territorial e Demografia da RM Belém;Dados;Dados da RM Belém#Dicionário;DataMunBEL.xls#DicRMSP08im.pdf;;2008-01-01
6;Dados da Divisão Territorial e Demografia da RM Belo Horizonte;Divisão Territorial#Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Belo Horizonte;Dados da Divisão Territorial e Demografia da RM Belo Horizonte;Dados;Dados da RM Belo Horizonte#Dicionário;DataMunBHZ.xls#DicRMSP08im.pdf;;2008-01-01
7;Dados da Divisão Territorial e Demografia da RM Campinas;Divisão Territorial#Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Campinas;Dados da Divisão Territorial e Demografia da RM Campinas;Dados;Dados da RM Campinas#Dicionário;DataMunCAM.xls#DicRMSP08im.pdf;;2008-01-01
8;Dados da Divisão Territorial e Demografia da RM Carbonífera;Divisão Territorial#Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Carbonífera;Dados da Divisão Territorial e Demografia da RM Carbonífera;Dados;Dados da RM Carbonífera#Dicionário;DataMunCAR.xls#DicRMSP08im.pdf;;2008-01-01
9;Dados da Divisão Territorial e Demografia da RM Cuiabá-Várzea Grande;Divisão Territorial#Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Cuiabá-Várzea Grande;Dados da Divisão Territorial e Demografia da RM Cuiabá-Várzea Grande;Dados;Dados AU Cuiabá-Várzea Grande#Dicionário;DataMunCVG.xls#DicRMSP08im.pdf;;2008-01-01
10;Dados da Divisão Territorial e Demografia da RM Curitiba;Divisão Territorial#Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Curitiba;Dados da Divisão Territorial e Demografia da RM Curitiba;Dados;Dados da RM Curitiba#Dicionário;DataMunCUR.xls#DicRMSP08im.pdf;;2008-01-01
11;Dados da Divisão Territorial e Demografia da RM DF e entorno;Divisão Territorial#Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM DF e entorno;Dados da Divisão Territorial e Demografia da RM DF e entorno;Dados;Dados da RIDE DF e Entorno#Dicionário;DataMunDFE.xls#DicRMSP08im.pdf;;2008-01-01
12;Dados da Divisão Territorial e Demografia da RM Florianópolis;Divisão Territorial#Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Florianópolis;Dados da Divisão Territorial e Demografia da RM Florianópolis;Dados;Dados da RM Florianópolis#Dicionário;DataMunFLO.xls#DicRMSP08im.pdf;;2008-01-01
13;Dados da Divisão Territorial e Demografia da RM Fortaleza;Divisão Territorial#Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Fortaleza;Dados da Divisão Territorial e Demografia da RM Fortaleza;Dados;Dados da RM Fortaleza#Dicionário;DataMunFOR.xls#DicRMSP08im.pdf;;2008-01-01
14;Dados da Divisão Territorial e Demografia da RM Foz do Itajaí;Divisão Territorial#Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Foz do Itajaí;Dados da Divisão Territorial e Demografia da RM Foz do Itajaí;Dados;Dados da RM Foz do Rio Itajaí#Dicionário;DataMunFRI.xls#DicRMSP08im.pdf;;2008-01-01
