id|tipo_publicacao_en|texto_publicacao_evento|ano_publicacao_evento|link_externo|link_text|arquivo_anexo|titulo|autor|imagem_capa
1|Paper|CARVALHAES, Flavio Alex de Oliveira;BARBOSA, Rogério Jerônimo; DE SOUZA, Pedro Herculano G. F.; RIBEIRO, Carlos Antônio Costa. Os impactos da geração de empregos sobre as desigualdades de renda uma análise da década de 2000. Revista Brasileira de Ciências Sociais, v.29, n.85, São Paulo, p.79-98, junho/2014.|2000|||820-impactos_desigualdade_renda_geracao_de_emprego_Barbosa_et_al_2014_RBCS.pdf|Os impactos da geração de empregos sobre as desigualdades de renda uma análise da década de 2000||
2|Paper|MARQUES, Eduardo Cesar Leão ; REQUENA, Carolina . O centro voltou a crescer? Trajetórias demográficas diversas e heterogeneidade na São Paulo dos anos 2000. Novos Estudos CEBRAP (Impresso), 2013, v. 95, p. 10-29.|2000|||185-novos-estudos-cebrap-95-marques-requena-file_1509.pdf|O centro voltou a crescer? Trajetórias demográficas diversas e heterogeneidade na São Paulo dos anos 2000||
3|Paper|MARQUES, E., e TORRES, H. 2000. As transformações recentes em São Paulo e o debate das cidades globais. Revista Novos Estudos, No. 56, p.139-168.|2000|http://novosestudos.uol.com.br/wp-content/uploads/2017/05/14_no_contexto_do_sistema.pdf.zip|Source||As transformações recentes em São Paulo e o debate das cidades globais.||
4|Presentation|"FIGUEIREDO, Argelina e MARQUES , E. - Elementos e diretrizes políticos para uma estrutura de gestão (download arquivo - 98 KB) - Seminário ""A cidade de São Paulo e a Região Metropolitana - Desafios para o século XXI"". Prefeitura do Município de São Paulo, 2001."|2001|||Gestao_metropolitana_DEF.pdf|Elementos e diretrizes políticos para uma estrutura de gestão||
5|Paper|BOTELHO, Isaura - As dimensões da cultura e o lugar das políticas públicas ( download arquivo - 221 KB ) - São Paulo em Perspectiva, Revista da Fundação SEADE, vol. 15 - n. 2, 2001.|2001|||Isaura.pdf|As dimensões da cultura e o lugar das políticas públicas||
6|Paper|GUIMARÃES, Nadya Araújo - Laborious, but redundant: gender and labor market in Brazil in 1990 (download arquivo - 302 KB) Revista Estudos Feministas, vol. 9, n. 1, 2001.|2001|||Laboriosas_Nadya.pdf|Laboriosas, mas redundantes: gênero e mercado de trabalho no Brasil dos 90||
7|Paper|MARQUES, Eduardo e BICHIR, Renata M. - Public investment, infrastructure and urban periphery production in São Paulo (download arquivo - 1.858 KB) - In: Revista Espaço e Debates, nº 42, 2001.|2001|||marques_bichir_esp_deb.pdf|Public investment, infrastructure and urban periphery production in São Paulo||
8|Paper|TORRES, Haroldo da Gama e MARQUES, E. - Reflections on hyperperiphery: old and new faces of poverty in the surrounding metropolitan (download arquivo - 1021 KB) - Brazilian magazine of Urban and Regional Studies, n.4, 2001.|2001|||torres_marques.pdf|Reflections on hyperperiphery: old and new faces of poverty in the surrounding metropolitan||
9|Paper|ARRETCHE, M. e MARQUES, E. La Municipalización de la salud en Brasil: diferencias regionales, poder de voto y estrategias del gobierno. OPAS: Série Informes Técnicos, No 77, 2001.|2001|||93-MunicplzSaudBR_2001.pdf|La Municipalización de la salud en Brasil: diferencias regionales, poder de voto y estrategias del gobierno||
10|Paper|GROSTEIN, M. D. Metropolis and urban sprawl: the persistence of processes' unsustainable’. São Paulo in Perspective Journal. São Paulo: Ed. Fundação SEADE, vol. 15, n. 1, April/June 2001, pp. 13-19.|2001||||Metropolis and urban sprawl: the persistence of processes' unsustainable’||
