id|tipo_publicacao|texto_publicacao_evento|ano_publicacao_evento|link_externo|link_text|arquivo_anexo|titulo|autor|imagem_capa
1|Paper|ALMEIDA, H. B. - Melodrama Comercial – reflexões sobre a feminilização da telenovela Cadernos Pagu. Campinas, n. 19, 2002, pp. 171-194.|2002.0|http://www.scielo.br/scielo.php?pid=S0104-83332002000200008&script=sci_arttext|Source||||
2|Paper|ALMEIDA, Heloisa B. Ficção como vitrine: a telenovela na promoção do consumo. Novos Estudos. São Paulo: Cebrap, n. 66, July 2003, pp. 179-190.|2003.0|||471-20080627_ficcao_como_vitrine.pdf|||
3|Paper|BOTELHO, Isaura - As dimensões da cultura e o lugar das políticas públicas ( download arquivo - 221 KB ) - São Paulo em Perspectiva, Revista da Fundação SEADE, vol. 15 - n. 2, 2001.|2001.0|||Isaura.pdf|||
4|Paper|BOTELHO, Isaura - Os equipamentos culturais na cidade de São Paulo: um desafio para a gestão pública ( download arquivo - 280 KB ) - in Espaço e Debates - Revista de Estudos regionais e urbanos - n.43/44 São Paulo, 2004.|2004.0|||espaco_debates.pdf|||
5|Paper|BOTELHO, Isaura e FIORE, Mauricio - O uso do tempo livre e as práticas culturais na Região Metropolina de São Paulo - Relatório da primeira etapa da pesquisa (download arquivo - 1.130 KB), 2005.|2005.0|||relatorio_etapa1.pdf|||
6|Paper|"HAMBURGER, E. I. ""Politics of Representation: Television in a São Paulo Favela”. Framework, Spring 2003, vol. 44, n. 1, pp. 104-115."|2003.0||||||
7|Paper|KIRSCHBAUM, Charles; SAKAMOTO, Cristina; VASCONCELOS, Flávio C.  Conflito e improvisação por Design: a metáfora do Repente.Revista Organizações & Sociedade, V. 21, N. 68 (2014)|2014.0|||680-artigo_kirschbaum_et_al_2014_ROES.pdf|||
8|Paper|KIRSCHBAUM, Charles. Rappers em São Paulo: conexões, disconexões e transgressões. REDES- Revista hispana para el análisis de redes sociales. Monográfico Análise de redes sociais na lusofonia: grupo de trabalho de Análise de redes sociais do Congresso luso afro brasileiro, Salvador 2011, v.22,p.5-22.|2011.0|||charles_kirschbaum_rappers_em_sao_paulo_conexoe_disconexoes_e_transgressoes_revista_redes_junho2012_vol22_2.pdf|||
9|Paper|KIRSCHBAUM, C. “Careers in the Right Beat: U.S. Jazz Musicians'typical and non-typical trajectories”. Career Development International, Bradford, England, v. 12, n. 2, p. 187-201, 2007.|2007.0||||||
10|Paper|KIRSCHBAUM, C. ; VASCONCELOS, F. “Tropicália: Strategic Maneuvers in Networks of Musicians”. RAE. Revista de Administração de Empresas, v. 47, p. 10-26, 2007.|2007.0||||||
11|Presentation|KIRSCHBAUM, Charles. A Evolução do Campo do Jazz, 1930-1969. 2006. (download arquivo – 579 KB).|2006.0|||2Jazz_Field_Evolution_Maio06.pdf|||
12|Paper|VASCONCELOS-OLIVEIRA, M. C. Culturas, públicos, processos de aprendizado: possibilidades e lógicas plurais. Políticas Culturais em Revista, v. 02, p. 1, 2010.|2010.0|http://www.portalseer.ufba.br/index.php/pculturais/article/view/4271/3348|Source||||
13|Paper|SCHLEGEL, Rogerio. Raízes do Brasil, 1936: o estatismo orgânico como contribuição original. Revista Brasileira de Ciências Sociais (Online), v. 32, n.93, p. 1-37, 2017.|2017.0|http://www.scielo.br/scielo.php?pid=S0102-69092017000100511&script=sci_abstract&tlng=en|Source||||
14|Paper|"TAKAHASHI, Henrique Yagui.""Capítulo 4, Versículo 3”: o “crime” na teologia dos Racionais MC’s. Apresentado no seminário CEM/Cebrap ""Território, crime e ordenamento social nas margens da cidade"" realizado no dia 18/05/2012."|2012.0|||takahashi_capitulo_4_versiculo_3_o_crime_na_teologia_do_racionais_mcs.pdf|||
15|Paper|XAVIER, Ismail. Corrosão social, pragmatismo e ressentimento: vozes dissonantes no cinema brasileiro de resultados. Revista Novos Estudos. São Paulo: Cebrap, jul. 2006, n.75, p.139-155.|2006.0|||ismail_corrosao_social.pdf|||
16|Paper|ALMEIDA, R. R. M. e D´ANDREA, Tiarajú - Poverty and Social Networks in a Sao Paulo Slum . Novos Estudos, São Paulo, v. 68, p. 94-106, 2004.|2004.0|||Art_Ronaldo_Tiaraju.pdf|||
17|Paper|FELTRAN, G. S. . O legítimo em disputa: as fronteiras do mundo do crime nas periferias de São Paulo. Dilemas: Revista de Estudos de Conflito e Controle Social, v. 1, p. 93-126, 2008.|2008.0|||1290-Dilemas1Art4_gabriel_2008_Dilemas.pdf|||
18|Paper|GALDEANO, Ana Paula; FELTRAN, Gabriel S. As periferias de São Paulo: novas dinâmicas e conflitos. Contraste, v. 3, p. 124-133, 2014.|2014.0||||||
19|Paper|MARQUES, Eduardo Cesar Leão; SARAIVA, C. Urban integration or reconfigured inequalities? Analyzing housing precarity in São Paulo, Brazil. HABITAT INTERNATIONAL, v. 69, Nov/2017, p. 18-26.|2017.0|http://www.sciencedirect.com/science/article/pii/S0197397517304897|Source||||
20|Paper|MARQUES, Eduardo e SARAIVA, Camila - The social dynamics of the slums in the Metropolitan Region of São Paulo (download arquivo - 285 KB ) - Seminário sobre estrutura social e segregação espacial – São Paulo, Rio de Janeiro e Paris, São Paulo - SP, 2004.|2004.0|||favelas_edu.pdf|||
21|Paper|MARQUES, Eduardo; FERREIRA, Maria Paula; FUSARO, Edgard R.; MINUCI, Elaine G. A methodology for estimating nationwide settlements. In: Indicadores sociais para políticas habitacionais. Brasília: Ministério das Cidades, 2007.|2007.0|||CEMassentMCidades.pdf|||
22|Paper|PAVEZ, Thais. Public action and transformation of social ties in a segregated community.Trabalho apresentado no 5º encontro da ABCP de 26 a 29 de Julho de 2006.|2006.0|||ThaisPavez_seminarioCEM.pdf|||
23|Paper|POSTIGO, E. L. G. A Construção Social Das Favelas No Rio De Janeiro (Brasil) Como Territórios De Violência. Revista Latinoamericana de Seguridad Ciudadana, v. 15, p. 113-125, 2014.|2014.0|||1055-1592-5882-1-PB_evelin_postigo_V.15_dez_2014.pdf|||
24|Paper|TORRES, Haroldo da Gama e MARQUES, E . - Population size of the São Paulo slums. Or large numbers and the bankruptcy of the debate on the mainland (download arquivo - 225 KB) - Paper for presentation at the Meeting of the Brazilian Association for Population Studies - Caxambu - MG, 2002.|2002.0|||abep2002.pdf|||
25|Paper|BERQUÓ, Elza; BARBOSA, Regina; KALCKMANN, Suzana; STEIN, Zena. Notes on the female condom: experiences in Brazil.United Kingdon: International Journal do STS & Aids, 18 (261-266), 2007.|2007.0|http://ijsa.rsmjournals.com/cgi/content/abstract/18/4/261|Source||||
26|Paper|BERQUÓ, Elza e CAVENAGHI, Suzana. “Fertility decline: a brief note on the reduction in the average number of children per woman in Brazil.” Revista Novos Estudos. São Paulo: CEBRAP, Mar. 2006, no.74, p. 11-15.|2006.0|||elza_berquo_fecundidade_em_declinio.pdf|||
27|Paper|GUIMARÃES, N. A. ; ALVES DE BRITO, M. M. ; BARONE, L.S. Mercantilização no feminino: a visibilidade do trabalho das mulheres no Brasil. Revista Brasileira de Ciências Sociais (Online), v. 90, p. 17-38, 2016.|2016.0|http://www.scielo.br/scielo.php?pid=S0102-69092016000100017&script=sci_abstract&tlng=pt|Source||||
28|Paper|GUIMARÃES, Nadya Araújo - Laborious, but redundant: gender and labor market in Brazil in 1990 (download arquivo - 302 KB) Revista Estudos Feministas, vol. 9, n. 1, 2001.|2001.0|||Laboriosas_Nadya.pdf|||
29|Presentation|BICHIR, R.M. & FERREIRA, M.P. & TORRES, H.G. – “Young people in São Paulo: exploring the effect of neighborhood relations”. Text presented at the XI National Meeting of ANPUR, Salvador, 23-27 de Maio de 2005.|2005.0|||artigoAnpur_versaosite.pdf|||
30|Paper|FELTRAN, Gabriel de Santis. Diário intensivo: a questão do 'adolescente em conflito com a lei', em contexto. Revista Brasileira Adolescência e Conflitualidade. São Paulo, UNIBAN, v. 1, p. 01-44, 2011.|2011.0|||92-feltran_diario_intensivo_revista_bras_adolesc_conflitualidade_2011.pdf|||
31|Paper|"LEITE, Elenice M. Final research report (download arquivo - 510 KB) Youth Group, Project ""Unemployment: Institutional and biographical approach: a comparison between Brazil, France, Japan"", USP/CEM/SEADE/CEBRAP, 2002."|2002.0|||Relatorio_jovens_Nadya-final.pdf|||
32|Paper|ALONSO, Angela e COSTA, Valeriano - For a sociology of environmental conflicts in Brazil (download arquivo - 212 KB) - in Alimonda, Héctor (Org.) Ecologia Política. Naturaleza, Sociedad y Utopia, Buenos Aires, CLACSO, 2002.|2002.0|||Angela.pdf|||
33|Paper|ALONSO, A. and COSTA, V. Social Sciences and Environment in Brazil: a bibliographic review. Journal of Bibliographic Information on Social Sciences – BIB. São Paulo: ANPOCS, n. 53, 2002, pp. 35-78.|2002.0|http://www.anpocs.org/portal/index.php?option=com_docman&task=cat_view&gid=131&Itemid=435|Source||||
34|Paper|ALONSO, A. e COSTA, V. The dynamics of public hearings for environmental licensing: the case of the São Paulo ring road. Cornwall, Andrea e Coelho, Vera Schattan (ed.). New Democratic Spaces? IDS Bulletin. V. 35, No. 2, 2004.|2004.0|http://www.cebrap.org.br/v1/template.php?area=7&pagina=31&item_biblio=85|Source||||
35|Paper|ALVES, Humberto Prates da Fonseca. Environmental inequality in São Paulo: analysis of differential exposure of social groups to environmental risk through the use of geoprocessing methodologies. Revista Brasileira de Estudos de População, São Paulo, v.24, n.2, pp. 301-306, Jul/Dez. 2007. ISSN 0102-3098.|2007.0||||||
36|Presentation|ALVES, Humberto e TORRES, Haroldo. Poverty and Environmental Risk in São Paulo: an analysis of households and families in vulnerable socio-environmental. (Download arquivo - 1870 KB) Paper presented at the Seminar on Population and Environment: methodological approaches, held on November 10, 2005 in Campinas-SP.|2005.0|||Artigo_Biro_e_Haroldo_Seminario_ABEP.pdf|||
37|Presentation|ALVES, Humberto P. F. Socio-environmental vulnerability in the metropolis: an analysis of situations of spatial overlap of issues and social and environmental risks. (download arquivo - 800 KB) - Proceedings of the eleventh meeting of the National Association of Graduate Studies and Research in Urban and Regional Planning (ANPUR), Salvador-BA, May, 2005.|2005.0|||Artigo_Humberto_Alves___XI_ENANPUR.pdf|||
38|Paper|ALVES, H. e TORRES, H. “Socio-environmental vulnerability in São Paulo: an analysis of households and families in poverty and environmental risk”. Revista São Paulo em Perspectiva, São Paulo, volume 20, número 1 – Jan./Mar. 2006. ISSN 0102-8839.|2006.0||||||
39|Paper|ANDRADE, Julia Cossermelli de. Pierre Monbeig, um francês diante da geografia do movimento: um estudo sobre a obra Pioneiros e fazendeiros do Estado de São Paulo. Revista do IEB. São Paulo: IEB e Editora 34, n. 52, p. 43-68, 2011.|2011.0|http://www.ieb.usp.br/publicacao/revista-do-ieb-n-52|Source||||
40|Paper|OLIVEIRA, Maria Aparecida e ALVES, Humberto. Urban Expansion and Deforestation in protected areas by the Environmental Legislation in the Metropolitan Region of São Paulo. (download arquivo - 700 KB) Paper presented at the Seminar on Population and Environment: methodological approaches, held on November 10, 2005 in Campinas – SP.|2005.0|||Artigo_Cida_e_Biro__Seminario_Abep.pdf|||
41|Paper|TORRES, Haroldo da Gama - Migration and the environment: A view from the Brazilian Metropolitan areas In: Hogan, D., Berquó, E. and COSTA, H.M. Population and Environment in Brazil . Campinas, CNPD/ABEP/NEPO.(download arquivo - 100 KB), 2002.|2002.0|||ldan_haroldo2.pdf|||
42|Paper|TORRES, Haroldo & ALVES, Humberto & OLIVEIRA, Maria Aparecida de . - São Paulo Peri-Urban Dynamics: Some social causes and environmental consequences. (Download arquivo - 554 KB) Paper presented at the XXV International Population Conference, Tours-França, 18-23 de Julho de 2005.|2005.0|||iussp2005s50266.pdf|||
43|Paper|ALVES DE BRITO, Murillo Marschner. Uso da entrevista na pesquisa empírica. Métodos de Pesquisa em Ciências Sociais. Bloco Quantitativo, 2016 (*). SESC São Paulo-Cebrap, p. 32-51.|2016.0|https://issuu.com/centrodepesquisaeformacao/docs/00_e-book_-_bloco_quantitativo|Source||||
44|Paper|BARBERIA, L. G. ; GODOY, S. R. ; BARBOZA, D. P. Novas perspectivas sobre o 'calcanhar metodológico': o ensino de métodos de pesquisa em Ciência Política no Brasil. Teoria & Sociedade (UFMG), v. 22, p. 156-184, 2015.|2015.0|http://www.fafich.ufmg.br/revistasociedade/index.php/rts/article/view/198|Source||||
