id|tipo_publicacao|texto_publicacao_evento|ano_publicacao_evento|link_externo|link_text|arquivo_anexo|titulo|autor|imagem_capa
1|Artigo|ALMEIDA, H. B. - Melodrama Comercial – reflexões sobre a feminilização da telenovela Cadernos Pagu. Campinas, n. 19, 2002, pp. 171-194.|2002.0|http://www.scielo.br/scielo.php?pid=S0104-83332002000200008&script=sci_arttext|Fonte||||
2|Artigo|ALMEIDA, Heloisa B. Ficção como vitrine: a telenovela na promoção do consumo. Novos Estudos. São Paulo: Cebrap, n. 66, July 2003, pp. 179-190.|2003.0|||471-20080627_ficcao_como_vitrine.pdf|||
3|Artigo|BOTELHO, Isaura - As dimensões da cultura e o lugar das políticas públicas ( download arquivo - 221 KB ) - São Paulo em Perspectiva, Revista da Fundação SEADE, vol. 15 - n. 2, 2001.|2001.0|||Isaura.pdf|||
4|Artigo|BOTELHO, Isaura - Os equipamentos culturais na cidade de São Paulo: um desafio para a gestão pública ( download arquivo - 280 KB ) - in Espaço e Debates - Revista de Estudos regionais e urbanos - n.43/44 São Paulo, 2004.|2004.0|||espaco_debates.pdf|||
5|Artigo|BOTELHO, Isaura e FIORE, Mauricio - O uso do tempo livre e as práticas culturais na Região Metropolina de São Paulo - Relatório da primeira etapa da pesquisa (download arquivo - 1.130 KB), 2005.|2005.0|||relatorio_etapa1.pdf|||
6|Artigo|"HAMBURGER, E. I. ""Politics of Representation: Television in a São Paulo Favela”. Framework, Spring 2003, vol. 44, n. 1, pp. 104-115."|2003.0||||||
7|Artigo|KIRSCHBAUM, Charles; SAKAMOTO, Cristina; VASCONCELOS, Flávio C.  Conflito e improvisação por Design: a metáfora do Repente.Revista Organizações & Sociedade, V. 21, N. 68 (2014)|2014.0|||680-artigo_kirschbaum_et_al_2014_ROES.pdf|||
8|Artigo|KIRSCHBAUM, Charles. Rappers em São Paulo: conexões, disconexões e transgressões. REDES- Revista hispana para el análisis de redes sociales. Monográfico Análise de redes sociais na lusofonia: grupo de trabalho de Análise de redes sociais do Congresso luso afro brasileiro, Salvador 2011, v.22,p.5-22.|2011.0|||charles_kirschbaum_rappers_em_sao_paulo_conexoe_disconexoes_e_transgressoes_revista_redes_junho2012_vol22_2.pdf|||
9|Artigo|KIRSCHBAUM, C. “Careers in the Right Beat: U.S. Jazz Musicians'typical and non-typical trajectories”. Career Development International, Bradford, England, v. 12, n. 2, p. 187-201, 2007.|2007.0||||||
10|Artigo|KIRSCHBAUM, C. ; VASCONCELOS, F. “Tropicália: Strategic Maneuvers in Networks of Musicians”. RAE. Revista de Administração de Empresas, v. 47, p. 10-26, 2007.|2007.0||||||
11|Apresentação|KIRSCHBAUM, Charles. A Evolução do Campo do Jazz, 1930-1969. 2006. (download arquivo – 579 KB).|2006.0|||2Jazz_Field_Evolution_Maio06.pdf|||
