Package,Name,Status,Version
"Field types","Address (address)",Enabled,8.x-1.4
Other,"Backup and Migrate (backup_migrate)",Enabled,8.x-4.0-rc1
Other,"Block Class (block_class)",Enabled,8.x-1.0-alpha1
Other,"Checklist API (checklistapi)",Enabled,8.x-1.4
"Example modules","Checklist API Example (checklistapiexample)",Disabled,8.x-1.4
Fields,"Conditional Fields (conditional_fields)",Enabled,8.x-1.0-alpha4
Views,"Views Contextual Range Filter (contextual_range_filter)",Disabled,8.x-1.0-rc1
Community,"Contribute (contribute)",Enabled,8.x-5.0-beta3
Media,"Crop API (crop)",Enabled,8.x-2.0-rc1
Custom,"Import CSV (csv_import)",Disabled,
"Chaos tool suite","Chaos tools (ctools)",Enabled,8.x-3.0
"Chaos tool suite (Experimental)","Chaos tools blocks (ctools_block)",Disabled,8.x-3.0
"Chaos tool suite (Experimental)","Chaos tools Views (ctools_views)",Disabled,8.x-3.0
Date/Time,"Date range formatter (date_range_formatter)",Enabled,8.x-3.1
Development,"Devel (devel)",Enabled,8.x-1.2
Development,"Devel generate (devel_generate)",Disabled,8.x-1.2
Other,"Entity (entity)",Enabled,8.x-1.0-beta1
Search,"Facets (facets)",Enabled,8.x-1.0
Search,"Facets Range Widget (facets_range_widget)",Enabled,8.x-1.0
Search,"Rest Facets (facets_rest)",Disabled,8.x-1.0
Search,"Facets summary (Experimental) (facets_summary)",Enabled,8.x-1.0
"Field types","Field collection (field_collection)",Disabled,8.x-1.0-alpha1
Fields,"Field Group (field_group)",Enabled,8.x-3.0-beta1
Migrate,"Field Group Migrate (field_group_migrate)",Disabled,8.x-3.0-beta1
Media,"File entity (file_entity)",Enabled,8.x-2.0-beta4
Media,"ImageWidgetCrop (image_widget_crop)",Enabled,8.x-2.1
Media,"ImageWidgetCrop examples (image_widget_crop_examples)",Disabled,8.x-2.1
Media,"Imce File Manager (imce)",Enabled,8.x-1.6
Development,"Devel Kint (kint)",Enabled,8.x-1.2
Mail,"Mail System (mailsystem)",Enabled,8.x-4.1
SEO,"Metatag (metatag)",Disabled,8.x-1.5
